tconst,title,year,runtime_min,genres,rating,votes,rank,primary_genre,decade,runtime_category,is_classic,votes_millions
tt0080678,The Elephant Man,1980,124,"Biography,Drama",8.2,282613,154,Biography,1980s,normal,False,0.28
tt0057115,The Great Escape,1963,172,"Adventure,Drama,Thriller",8.2,277858,155,Adventure,1960s,long,True,0.28
tt10272386,The Father,2020,97,"Drama,Mystery",8.2,245274,156,Drama,2020s,short,False,0.25
tt1305806,The Secret in Their Eyes,2009,129,"Drama,Mystery,Romance",8.2,242372,157,Drama,2000s,normal,False,0.24
tt4729430,Klaus,2019,96,"Adventure,Animation,Comedy",8.2,236923,158,Adventure,2010s,short,False,0.24
tt29623480,The Wild Robot,2024,102,"Adventure,Animation,Family",8.2,224161,159,Adventure,2020s,normal,False,0.22
tt0017136,Metropolis,1927,153,"Drama,Sci-Fi",8.2,201356,160,Drama,1920s,long,True,0.2
tt0040522,Bicycle Thieves,1948,89,Drama,8.2,192765,161,Drama,1940s,short,True,0.19
tt10698680,K.G.F: Chapter 2,2022,166,"Action,Crime,Drama",8.2,169670,162,Action,2020s,long,False,0.17
tt0089881,Ran,1985,160,"Action,Drama,War",8.2,152151,163,Action,1980s,long,False,0.15
tt0042192,All About Eve,1950,138,Drama,8.2,149368,164,Drama,1950s,normal,True,0.15
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.2,145736,165,Comedy,1920s,short,True,0.15
tt0055630,Yojimbo,1961,110,"Action,Drama,Thriller",8.2,143151,166,Action,1960s,normal,True,0.14
tt5323662,A Silent Voice: The Movie,2016,130,"Animation,Drama",8.2,142034,167,Animation,2010s,normal,False,0.14
tt0040897,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,141529,168,Adventure,1940s,normal,True,0.14
tt4849438,Baahubali 2: The Conclusion,2017,167,"Action,Drama",8.2,134129,169,Action,2010s,long,False,0.13
tt8108198,Andhadhun,2018,139,"Comedy,Crime,Mystery",8.2,116277,170,Comedy,2010s,normal,False,0.12
tt1954470,Gangs of Wasseypur,2012,321,"Action,Comedy,Crime",8.2,114291,171,Action,2010s,long,False,0.11
tt4430212,Drishyam,2015,163,"Crime,Drama,Mystery",8.2,109016,172,Crime,2010s,long,False,0.11
tt0367110,Swades,2004,189,"Drama,Musical",8.2,106126,173,Drama,2000s,long,False,0.11
tt0476735,My Father and My Son,2005,112,Drama,8.2,100894,174,Drama,2000s,normal,False,0.1
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117,"Action,Adventure,Animation",8.2,100755,175,Action,2020s,normal,False,0.1
